u	q	r
139	9129	0.5
140	9129	0.5
19	9130	0.18181818181818182
57	9130	0.18181818181818182
146	9130	0.45454545454545453
4408	9130	0.09090909090909091
13706	9130	0.09090909090909091
14	9131	0.5
147	9131	0.5
14	9132	0.16666666666666666
25	9132	0.3333333333333333
148	9132	0.5
25	9133	0.5
105	9133	0.5
12	9134	0.14285714285714285
57	9134	0.42857142857142855
58	9134	0.14285714285714285
134	9134	0.14285714285714285
540	9134	0.14285714285714285
11	9135	0.16666666666666666
12	9135	0.16666666666666666
57	9135	0.3333333333333333
58	9135	0.16666666666666666
1187	9135	0.16666666666666666
57	9136	0.3333333333333333
84	9136	0.1111111111111111
92	9136	0.1111111111111111
101	9136	0.2222222222222222
957	9136	0.1111111111111111
1954	9136	0.1111111111111111
12	9137	0.23076923076923078
25	9137	0.07692307692307693
84	9137	0.07692307692307693
121	9137	0.6153846153846154
2	9138	0.3333333333333333
146	9138	0.3333333333333333
26981	9138	0.16666666666666666
35074	9138	0.16666666666666666
14	9139	0.375
153	9139	0.625
2	9140	1.0
55	9141	0.25
61	9141	0.5
134	9141	0.25
3	9142	0.2
29	9142	0.4
81	9142	0.2
19927	9142	0.2
12	9143	0.5
55	9143	0.5
39	9146	0.3333333333333333
155	9146	0.6666666666666666
84	9147	0.3333333333333333
127	9147	0.3333333333333333
54	9147	0.3333333333333333
12	9149	0.5
157	9149	0.5
3	9150	0.2
158	9150	0.4
2123	9150	0.2
3492	9150	0.2
11	9151	0.25
1250	9151	0.25
7736	9151	0.25
159	9151	0.25
3	9152	0.2
25	9152	0.2
122	9152	0.2
159	9152	0.2
160	9152	0.2
3	9153	0.5
45	9153	0.5
33	9154	0.6666666666666666
84	9154	0.3333333333333333
25	9155	0.3333333333333333
84	9155	0.3333333333333333
74	9155	0.3333333333333333
14	9156	0.20833333333333334
47	9156	0.08333333333333333
71	9156	0.16666666666666666
84	9156	0.08333333333333333
100	9156	0.25
102	9156	0.041666666666666664
134	9156	0.041666666666666664
27787	9156	0.041666666666666664
29540	9156	0.041666666666666664
30203	9156	0.041666666666666664
29	9157	0.25
30	9157	0.25
134	9157	0.25
163	9157	0.25
45	9158	0.25
81	9158	0.5
189	9158	0.25
11	9159	0.2
22	9159	0.2
25	9159	0.2
58	9159	0.2
153	9159	0.2
3	9160	0.25
146	9160	0.75
120	9161	0.25
122	9161	0.25
127	9161	0.25
166	9161	0.25
3	9162	0.2857142857142857
14	9162	0.14285714285714285
58	9162	0.5714285714285714
3	9163	0.09090909090909091
9	9163	0.45454545454545453
11	9163	0.2727272727272727
13	9163	0.09090909090909091
