,A,A-q,B,B-q,C,C-q,D,D-q
374,0.0,28253,5.0,28253,1.0,28253,18.0,28253
375,19.0,33624,10.0,33624,12.0,33624,14.0,33624
376,0.0,9733,0.0,9733,0.0,9733,2.0,9733
377,100.0,10328,100.0,10328,43.0,10328,100.0,10328
378,16.0,190847,28.0,190847,12.0,190847,38.0,190847
379,47.0,47174,100.0,47174,6.0,47174,25.0,47174
380,100.0,94856,100.0,94856,19.0,94856,60.0,94856
381,0.0,46764,11.0,46764,1.0,46764,27.0,46764
382,0.0,68773,0.0,68773,1.0,68773,15.0,68773
383,87.0,66956,100.0,66956,100.0,66956,100.0,66956
384,13.0,85211,50.0,85211,25.0,85211,100.0,85211
385,100.0,147131,100.0,147131,100.0,147131,100.0,147131
386,100.0,152276,100.0,152276,100.0,152276,78.0,152276
387,38.0,56660,100.0,56660,96.0,56660,100.0,56660
388,70.0,204382,12.0,204382,1.0,204382,15.0,204382
389,54.0,101356,100.0,101356,93.0,101356,100.0,101356
390,9.0,28383,6.0,28383,5.0,28383,18.0,28383
391,100.0,187593,52.0,187593,100.0,187593,100.0,187593
392,15.0,62893,23.0,62893,13.0,62893,67.0,62893
393,100.0,12504,100.0,12504,2.0,12504,4.0,12504
394,0.0,137531,100.0,137531,1.0,137531,100.0,137531
395,2.0,240459,100.0,240459,3.0,240459,100.0,240459
396,100.0,260796,100.0,260796,100.0,260796,100.0,260796
397,100.0,10651,60.0,10651,100.0,10651,30.0,10651
398,35.0,123421,100.0,123421,78.0,123421,100.0,123421
399,54.0,39183,54.0,39183,54.0,39183,54.0,39183
400,10.0,33977,46.0,33977,24.0,33977,100.0,33977
401,28.0,38842,29.0,38842,55.0,38842,28.0,38842
402,13.0,186510,6.0,186510,16.0,186510,22.0,186510
403,0.0,206043,0.0,206043,0.0,206043,2.0,206043
404,30.0,250623,100.0,250623,52.0,250623,100.0,250623
405,22.0,65478,100.0,65478,30.0,65478,100.0,65478
406,53.0,57677,67.0,57677,23.0,57677,16.0,57677
407,0.0,11447,42.0,11447,1.0,11447,30.0,11447
408,1.0,38053,2.0,38053,0.0,38053,3.0,38053
409,10.0,48326,42.0,48326,5.0,48326,46.0,48326
410,96.0,119286,100.0,119286,96.0,119286,65.0,119286
411,100.0,50346,100.0,50346,100.0,50346,100.0,50346
412,80.0,29320,100.0,29320,100.0,29320,100.0,29320
413,14.0,76018,100.0,76018,6.0,76018,45.0,76018
414,100.0,36743,100.0,36743,42.0,36743,22.0,36743
415,100.0,28589,100.0,28589,18.0,28589,31.0,28589
416,5.0,269493,83.0,269493,14.0,269493,100.0,269493
417,100.0,42906,100.0,42906,100.0,42906,100.0,42906
418,2.0,40468,0.0,40468,3.0,40468,3.0,40468
419,9.0,239274,100.0,239274,18.0,239274,100.0,239274
420,0.0,215570,0.0,215570,0.0,215570,3.0,215570
421,55.0,99906,100.0,99906,95.0,99906,100.0,99906
422,65.0,119506,100.0,119506,100.0,119506,100.0,119506
423,4.0,57728,3.0,57728,4.0,57728,4.0,57728
424,0.0,73627,10.0,73627,3.0,73627,14.0,73627
425,11.0,12363,73.0,12363,8.0,12363,20.0,12363
426,0.0,12699,1.0,12699,2.0,12699,4.0,12699
427,39.0,59632,31.0,59632,14.0,59632,50.0,59632
428,100.0,199893,43.0,199893,58.0,199893,58.0,199893
